variables,units,values,description
blade.outer_shape_bem.chord_yaml,m,"[4.5        4.51653455 4.59255455 4.72026865 4.75       4.75
 4.75       4.75       4.75       4.75       4.75       4.7
 4.64       4.48       4.30815493 4.07109567 3.83078655 3.59377787
 3.3535724  3.10972681 2.86394905 2.61780457 2.37255549 2.12536608
 1.87360817 1.6133977  1.34551447 1.07050448 0.78813172 0.5       ]",1D array of the chord values defined along blade span.
blade.outer_shape_bem.twist_yaml,rad,"[ 0.3491      0.32625117  0.30085553  0.27319561  0.24355395  0.2057759
  0.15761451  0.11369865  0.08888556  0.08740227  0.08747036  0.08755246
  0.08760935  0.08649735  0.08026523  0.07090719  0.06112253  0.05334186
  0.04683973  0.04037517  0.03298558  0.02356245  0.0096627  -0.00714598
 -0.02406408 -0.03833817 -0.05056212 -0.06194147 -0.07234987 -0.08166095]",1D array of the twist values defined along blade span. The twist is defined positive for negative rotations around the z axis (the same as in BeamDyn).
blade.outer_shape_bem.pitch_axis_yaml,,"[0.5        0.49816955 0.48992341 0.47666778 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.47368421 0.47368421 0.46808511
 0.4612069  0.44196429 0.43251806 0.42095775 0.41010371 0.40195138
 0.39522149 0.39116278 0.38990659 0.39134099 0.39523274 0.40007425
 0.40504215 0.41113787 0.41946139 0.43201533 0.45321411 0.5       ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.outer_shape_bem.ref_axis_yaml,m,"[[ 0.00000000e+00  0.00000000e+00  0.00000000e+00]
 [ 1.45896086e-02  0.00000000e+00  3.44814717e+00]
 [ 5.22230768e-02  0.00000000e+00  6.89629433e+00]
 [ 1.08141891e-01  0.00000000e+00  1.03444415e+01]
 [ 1.74250500e-01  0.00000000e+00  1.37925887e+01]
 [ 2.41136773e-01  0.00000000e+00  1.72407358e+01]
 [ 3.00085581e-01  0.00000000e+00  2.06888830e+01]
 [ 3.42651213e-01  0.00000000e+00  2.41370302e+01]
 [ 3.59821072e-01  0.00000000e+00  2.75851773e+01]
 [ 3.47586472e-01  0.00000000e+00  3.10333245e+01]
 [ 3.14508104e-01  0.00000000e+00  3.44814717e+01]
 [ 2.66858145e-01  0.00000000e+00  3.79296188e+01]
 [ 2.10870490e-01  0.00000000e+00  4.13777660e+01]
 [ 1.40477297e-01  0.00000000e+00  4.48259132e+01]
 [ 3.80470534e-02  0.00000000e+00  4.82740603e+01]
 [-9.07529186e-02  0.00000000e+00  5.17222075e+01]
 [-2.35123811e-01  0.00000000e+00  5.51703547e+01]
 [-3.94137332e-01  0.00000000e+00  5.86185018e+01]
 [-5.85777112e-01  0.00000000e+00  6.20666490e+01]
 [-8.05291806e-01  0.00000000e+00  6.55147962e+01]
 [-1.04252594e+00  0.00000000e+00  6.89629433e+01]
 [-1.29121723e+00  0.00000000e+00  7.24110905e+01]
 [-1.56372970e+00  0.00000000e+00  7.58592376e+01]
 [-1.85903588e+00  0.00000000e+00  7.93073848e+01]
 [-2.17067421e+00  0.00000000e+00  8.27555320e+01]
 [-2.49837779e+00  0.00000000e+00  8.62036791e+01]
 [-2.84335536e+00  0.00000000e+00  8.96518263e+01]
 [-3.20952152e+00  0.00000000e+00  9.30999735e+01]
 [-3.59684443e+00  0.00000000e+00  9.65481206e+01]
 [-4.00000000e+00  0.00000000e+00  9.99962678e+01]]","2D array of the coordinates (x,y,z) of the blade reference axis, defined along blade span. The coordinate system is the one of BeamDyn: it is placed at blade root with x pointing the suction side of the blade, y pointing the trailing edge and z along the blade span. A standard configuration will have negative x values (prebend), if swept positive y values, and positive z values."
blade.outer_shape_bem.span_end,,[],1D array of the positions along blade span where something (a DAC device?) starts and we want a grid point. Only values between 0 and 1 are meaningful.
blade.outer_shape_bem.span_ext,,[],1D array of the extensions along blade span where something (a DAC device?) lives and we want a grid point. Only values between 0 and 1 are meaningful.
blade.pa.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.pa.s_opt_twist,,[0.         0.33333333 0.66666667 1.        ],1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade twist angle
blade.pa.twist_opt,rad,[0.3491     0.08744766 0.1251342  0.00556127],1D array of the twist angle being optimized at the n_opt locations.
blade.pa.s_opt_chord,,[0.         0.33333333 0.66666667 1.        ],1D array of the non-dimensional spanwise grid defined along blade axis to optimize the blade chord
blade.pa.chord_opt,m,[4.5        4.75       3.02402499 0.55599594],1D array of the chord being optimized at the n_opt locations.
blade.interp_airfoils.af_position,,"[0.         0.02       0.18       0.29632121 0.4824137  0.76458948
 0.87235063 1.        ]",1D array of the non dimensional positions of the airfoils af_used defined along blade span.
blade.interp_airfoils.s,,"[0.         0.03448276 0.06896552 0.10344828 0.13793103 0.17241379
 0.20689655 0.24137931 0.27586207 0.31034483 0.34482759 0.37931034
 0.4137931  0.44827586 0.48275862 0.51724138 0.55172414 0.5862069
 0.62068966 0.65517241 0.68965517 0.72413793 0.75862069 0.79310345
 0.82758621 0.86206897 0.89655172 0.93103448 0.96551724 1.        ]","1D array of the non-dimensional spanwise grid defined along blade axis (0-blade root, 1-blade tip)"
blade.interp_airfoils.pitch_axis,,"[0.5        0.49816955 0.48992341 0.47666778 0.47368421 0.47368421
 0.47368421 0.47368421 0.47368421 0.47368421 0.47368421 0.46808511
 0.4612069  0.44196429 0.43251806 0.42095775 0.41010371 0.40195138
 0.39522149 0.39116278 0.38990659 0.39134099 0.39523274 0.40007425
 0.40504215 0.41113787 0.41946139 0.43201533 0.45321411 0.5       ]","1D array of the chordwise position of the pitch axis (0-LE, 1-TE), defined along blade span."
blade.interp_airfoils.chord,m,"[4.5        4.56983681 4.62528189 4.66799582 4.69963918 4.72187257
 4.73635655 4.74475173 4.74871868 4.749918   4.74631679 4.69386444
 4.5866472  4.43410114 4.24566234 4.03076685 3.79885076 3.55935013
 3.32170104 3.09533954 2.88156389 2.65919552 2.4268027  2.18482145
 1.93368784 1.67383792 1.40570771 1.12973329 0.84635068 0.55599594]",1D array of the chord values defined along blade span.
blade.interp_airfoils.ac,,[0.5   0.316 0.316 0.282 0.266 0.265 0.228],1D array of the aerodynamic centers of each airfoil.
blade.interp_airfoils.r_thick,,[1.    0.5   0.36  0.301 0.241 0.211 0.18 ],1D array of the relative thicknesses of each airfoil.
blade.interp_airfoils.aoa,rad,"[-3.14159265 -3.08923278 -3.0368729  -2.98451302 -2.93215314 -2.87979327
 -2.82743339 -2.77507351 -2.72271363 -2.67035376 -2.61799388 -2.565634
 -2.51327412 -2.46091425 -2.40855437 -2.35619449 -2.30383461 -2.25147474
 -2.19911486 -2.14675498 -2.0943951  -2.04203522 -1.98967535 -1.93731547
 -1.88495559 -1.83259571 -1.78023584 -1.72787596 -1.67551608 -1.6231562
 -1.57079633 -1.51843645 -1.46607657 -1.41371669 -1.36135682 -1.30899694
 -1.25663706 -1.20427718 -1.15191731 -1.09955743 -1.04719755 -0.99483767
 -0.9424778  -0.89011792 -0.83775804 -0.78539816 -0.73303829 -0.68067841
 -0.62831853 -0.57595865 -0.52359878 -0.51302102 -0.50244327 -0.49186552
 -0.48128776 -0.47071001 -0.46013226 -0.4495545  -0.43897675 -0.428399
 -0.41782125 -0.40724349 -0.39666574 -0.38608799 -0.37551023 -0.36493248
 -0.35435473 -0.34377697 -0.33319922 -0.32262147 -0.31204371 -0.30146596
 -0.29088821 -0.28031046 -0.2697327  -0.25915495 -0.2485772  -0.23799944
 -0.22742169 -0.21684394 -0.20626618 -0.19568843 -0.18511068 -0.17453293
 -0.16395517 -0.15337742 -0.14279967 -0.13222191 -0.12164416 -0.11106641
 -0.10048865 -0.0899109  -0.07933315 -0.06875539 -0.05817764 -0.04759989
 -0.03702214 -0.02644438 -0.01586663 -0.00528888  0.00528888  0.01586663
  0.02644438  0.03702214  0.04759989  0.05817764  0.06875539  0.07933315
  0.0899109   0.10048865  0.11106641  0.12164416  0.13222191  0.14279967
  0.15337742  0.16395517  0.17453293  0.18511068  0.19568843  0.20626618
  0.21684394  0.22742169  0.23799944  0.2485772   0.25915495  0.2697327
  0.28031046  0.29088821  0.30146596  0.31204371  0.32262147  0.33319922
  0.34377697  0.35435473  0.36493248  0.37551023  0.38608799  0.39666574
  0.40724349  0.41782125  0.428399    0.43897675  0.4495545   0.46013226
  0.47071001  0.48128776  0.49186552  0.50244327  0.51302102  0.52359878
  0.57595865  0.62831853  0.68067841  0.73303829  0.78539816  0.83775804
  0.89011792  0.9424778   0.99483767  1.04719755  1.09955743  1.15191731
  1.20427718  1.25663706  1.30899694  1.36135682  1.41371669  1.46607657
  1.51843645  1.57079633  1.6231562   1.67551608  1.72787596  1.78023584
  1.83259571  1.88495559  1.93731547  1.98967535  2.04203522  2.0943951
  2.14675498  2.19911486  2.25147474  2.30383461  2.35619449  2.40855437
  2.46091425  2.51327412  2.565634    2.61799388  2.67035376  2.72271363
  2.77507351  2.82743339  2.87979327  2.93215314  2.98451302  3.0368729
  3.08923278  3.14159265]",1D array of the angles of attack used to define the polars of the airfoils. All airfoils defined in openmdao share this grid.
blade.interp_airfoils.cl,,"[[[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  ...

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.12210045]
   [ 0.12210045]
   [ 0.12210045]
   ...
   [ 0.12210045]
   [ 0.12210045]
   [ 0.12210045]]

  [[ 0.2442009 ]
   [ 0.2442009 ]
   [ 0.2442009 ]
   ...
   [ 0.2442009 ]
   [ 0.2442009 ]
   [ 0.2442009 ]]

  ...

  [[-0.2442009 ]
   [-0.2442009 ]
   [-0.2442009 ]
   ...
   [-0.2442009 ]
   [-0.2442009 ]
   [-0.2442009 ]]

  [[-0.12210045]
   [-0.12210045]
   [-0.12210045]
   ...
   [-0.12210045]
   [-0.12210045]
   [-0.12210045]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.14679144]
   [ 0.14679144]
   [ 0.14679144]
   ...
   [ 0.14679144]
   [ 0.14679144]
   [ 0.14679144]]

  [[ 0.29358289]
   [ 0.29358289]
   [ 0.29358289]
   ...
   [ 0.29358289]
   [ 0.29358289]
   [ 0.29358289]]

  ...

  [[-0.29358289]
   [-0.29358289]
   [-0.29358289]
   ...
   [-0.29358289]
   [-0.29358289]
   [-0.29358289]]

  [[-0.14679144]
   [-0.14679144]
   [-0.14679144]
   ...
   [-0.14679144]
   [-0.14679144]
   [-0.14679144]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 ...


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.12661054]
   [ 0.12661054]
   [ 0.12661054]
   ...
   [ 0.12661054]
   [ 0.12661054]
   [ 0.12661054]]

  [[ 0.25322109]
   [ 0.25322109]
   [ 0.25322109]
   ...
   [ 0.25322109]
   [ 0.25322109]
   [ 0.25322109]]

  ...

  [[-0.25322109]
   [-0.25322109]
   [-0.25322109]
   ...
   [-0.25322109]
   [-0.25322109]
   [-0.25322109]]

  [[-0.12661054]
   [-0.12661054]
   [-0.12661054]
   ...
   [-0.12661054]
   [-0.12661054]
   [-0.12661054]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11463697]
   [ 0.11463697]
   [ 0.11463697]
   ...
   [ 0.11463697]
   [ 0.11463697]
   [ 0.11463697]]

  [[ 0.22927393]
   [ 0.22927393]
   [ 0.22927393]
   ...
   [ 0.22927393]
   [ 0.22927393]
   [ 0.22927393]]

  ...

  [[-0.22927393]
   [-0.22927393]
   [-0.22927393]
   ...
   [-0.22927393]
   [-0.22927393]
   [-0.22927393]]

  [[-0.11463697]
   [-0.11463697]
   [-0.11463697]
   ...
   [-0.11463697]
   [-0.11463697]
   [-0.11463697]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.10679329]
   [ 0.10679329]
   [ 0.10679329]
   ...
   [ 0.10679329]
   [ 0.10679329]
   [ 0.10679329]]

  [[ 0.21358659]
   [ 0.21358659]
   [ 0.21358659]
   ...
   [ 0.21358659]
   [ 0.21358659]
   [ 0.21358659]]

  ...

  [[-0.21358659]
   [-0.21358659]
   [-0.21358659]
   ...
   [-0.21358659]
   [-0.21358659]
   [-0.21358659]]

  [[-0.10679329]
   [-0.10679329]
   [-0.10679329]
   ...
   [-0.10679329]
   [-0.10679329]
   [-0.10679329]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]]","4D array with the lift coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cd,,"[[[[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]

  [[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]

  [[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]

  ...

  [[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]

  [[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]

  [[0.5  ]
   [0.5  ]
   [0.5  ]
   ...
   [0.5  ]
   [0.5  ]
   [0.5  ]]]


 [[[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  ...

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]]


 [[[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  ...

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]]


 ...


 [[[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  ...

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]]


 [[[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  ...

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]]


 [[[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  ...

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]

  [[0.001]
   [0.001]
   [0.001]
   ...
   [0.001]
   [0.001]
   [0.001]]]]","4D array with the drag coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.cm,,"[[[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  ...

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11692555]
   [ 0.11692555]
   [ 0.11692555]
   ...
   [ 0.11692555]
   [ 0.11692555]
   [ 0.11692555]]

  [[ 0.23385109]
   [ 0.23385109]
   [ 0.23385109]
   ...
   [ 0.23385109]
   [ 0.23385109]
   [ 0.23385109]]

  ...

  [[-0.28869358]
   [-0.28869358]
   [-0.28869358]
   ...
   [-0.28869358]
   [-0.28869358]
   [-0.28869358]]

  [[-0.14434679]
   [-0.14434679]
   [-0.14434679]
   ...
   [-0.14434679]
   [-0.14434679]
   [-0.14434679]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11699909]
   [ 0.11699909]
   [ 0.11699909]
   ...
   [ 0.11699909]
   [ 0.11699909]
   [ 0.11699909]]

  [[ 0.23399817]
   [ 0.23399817]
   [ 0.23399817]
   ...
   [ 0.23399817]
   [ 0.23399817]
   [ 0.23399817]]

  ...

  [[-0.28884065]
   [-0.28884065]
   [-0.28884065]
   ...
   [-0.28884065]
   [-0.28884065]
   [-0.28884065]]

  [[-0.14442033]
   [-0.14442033]
   [-0.14442033]
   ...
   [-0.14442033]
   [-0.14442033]
   [-0.14442033]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 ...


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11629777]
   [ 0.11629777]
   [ 0.11629777]
   ...
   [ 0.11629777]
   [ 0.11629777]
   [ 0.11629777]]

  [[ 0.23259555]
   [ 0.23259555]
   [ 0.23259555]
   ...
   [ 0.23259555]
   [ 0.23259555]
   [ 0.23259555]]

  ...

  [[-0.28743803]
   [-0.28743803]
   [-0.28743803]
   ...
   [-0.28743803]
   [-0.28743803]
   [-0.28743803]]

  [[-0.14371901]
   [-0.14371901]
   [-0.14371901]
   ...
   [-0.14371901]
   [-0.14371901]
   [-0.14371901]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11548792]
   [ 0.11548792]
   [ 0.11548792]
   ...
   [ 0.11548792]
   [ 0.11548792]
   [ 0.11548792]]

  [[ 0.23097585]
   [ 0.23097585]
   [ 0.23097585]
   ...
   [ 0.23097585]
   [ 0.23097585]
   [ 0.23097585]]

  ...

  [[-0.28581833]
   [-0.28581833]
   [-0.28581833]
   ...
   [-0.28581833]
   [-0.28581833]
   [-0.28581833]]

  [[-0.14290917]
   [-0.14290917]
   [-0.14290917]
   ...
   [-0.14290917]
   [-0.14290917]
   [-0.14290917]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]


 [[[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]

  [[ 0.11759006]
   [ 0.11759006]
   [ 0.11759006]
   ...
   [ 0.11759006]
   [ 0.11759006]
   [ 0.11759006]]

  [[ 0.23518013]
   [ 0.23518013]
   [ 0.23518013]
   ...
   [ 0.23518013]
   [ 0.23518013]
   [ 0.23518013]]

  ...

  [[-0.29231712]
   [-0.29231712]
   [-0.29231712]
   ...
   [-0.29231712]
   [-0.29231712]
   [-0.29231712]]

  [[-0.14615856]
   [-0.14615856]
   [-0.14615856]
   ...
   [-0.14615856]
   [-0.14615856]
   [-0.14615856]]

  [[ 0.        ]
   [ 0.        ]
   [ 0.        ]
   ...
   [ 0.        ]
   [ 0.        ]
   [ 0.        ]]]]","4D array with the moment coefficients of the airfoils. Dimension 0 is along the different airfoils defined in the yaml, dimension 1 is along the angles of attack, dimension 2 is along the Reynolds number, dimension 3 is along the number of tabs, which may describe multiple sets at the same station, for example in presence of a flap."
blade.interp_airfoils.coord_xy,,"[[[ 1.00000000e+00  0.00000000e+00]
  [ 9.99429684e-01 -2.22597407e-02]
  [ 9.98063018e-01 -4.44580349e-02]
  ...
  [ 9.98120489e-01  4.38394581e-02]
  [ 9.99443038e-01  2.19496514e-02]
  [ 1.00000000e+00 -3.99929253e-18]]

 [[ 1.00000000e+00 -9.70000080e-03]
  [ 9.72814821e-01 -1.34271661e-02]
  [ 9.46027311e-01 -1.93111175e-02]
  ...
  [ 9.53709610e-01  3.92185257e-02]
  [ 9.77051006e-01  2.52011977e-02]
  [ 1.00000000e+00  1.05000009e-02]]

 [[ 1.00000000e+00 -7.00000069e-04]
  [ 9.74085396e-01 -2.58383565e-03]
  [ 9.48123482e-01 -3.51119300e-03]
  ...
  [ 9.50802168e-01  2.72787770e-02]
  [ 9.75412980e-01  2.01917140e-02]
  [ 1.00000000e+00  1.29800013e-02]]

 ...

 [[ 1.00000000e+00  4.25000005e-03]
  [ 9.82343459e-01 -7.44795812e-04]
  [ 9.57832160e-01  2.09748789e-03]
  ...
  [ 9.52346202e-01  1.38691659e-02]
  [ 9.76159823e-01  9.05592971e-03]
  [ 1.00000000e+00  4.25000005e-03]]

 [[ 1.00000000e+00  9.40000193e-04]
  [ 9.76796386e-01  1.78959118e-03]
  [ 9.52789587e-01  3.69235436e-03]
  ...
  [ 9.52386679e-01  9.04801677e-03]
  [ 9.76167957e-01  4.91788955e-03]
  [ 1.00000000e+00  9.40000193e-04]]

 [[ 1.00000001e+00  0.00000000e+00]
  [ 9.76685172e-01  3.75162959e-03]
  [ 9.53182649e-01  5.77797312e-03]
  ...
  [ 9.52998468e-01  1.22858505e-02]
  [ 9.76506126e-01  6.21827841e-03]
  [ 1.00000001e+00  2.13114815e-20]]]",3D array of the x and y airfoil coordinates of the n_af airfoils.
